player,clutch_fg_pct,normal_fg_pct,fg_pct_diff,clutch_to_rate,normal_to_rate,to_rate_diff,clutch_game_score_min,normal_game_score_min,gs_diff,year,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
P. Ellison,0.25,0.4166666666666667,-0.1666666666666666,0.0,0.1521739130434782,-0.1521739130434782,0.4499999999999999,0.0239130434782608,0.4260869565217391,1997,1,3,3,3,3,2,2,1
D. Rodman,0.3287671232876712,0.4557823129251701,-0.1270151896374988,12.0,2.5,9.5,10.699999999999989,5.739130434782611,4.9608695652173775,1997,1,3,1,3,1,1,1,1
D. Wesley,0.4594594594594595,0.4713286713286713,-0.0118692118692118,27.5,3.391304347826087,24.108695652173918,82.65,10.706521739130435,71.94347826086957,1997,0,0,4,0,0,4,4,8
M. Jordan,0.4897959183673469,0.4773684210526315,0.0124274973147153,27.0,3.5,23.5,214.6,30.239130434782613,184.3608695652174,1997,0,0,0,5,5,0,0,0
E. Williams,0.4620689655172413,0.4548148148148148,0.0072541507024265,16.0,2.3260869565217392,13.673913043478262,46.25000000000003,10.089130434782607,36.16086956521743,1997,0,1,4,4,4,1,1,4
S. Pippen,0.4422442244224422,0.4686588921282799,-0.0264146677058376,20.5,4.956521739130435,15.543478260869566,98.65,20.065217391304344,78.58478260869566,1997,0,0,4,0,0,4,8,8
R. Harper,0.4,0.4309978768577495,-0.0309978768577494,3.0,1.1956521739130437,1.8043478260869563,28.79999999999999,7.163043478260871,21.63695652173912,1997,1,3,1,3,1,2,1,1
L. Longley,0.4,0.4809160305343511,-0.0809160305343511,8.0,2.6739130434782608,5.326086956521739,10.35,5.117391304347828,5.232608695652173,1997,1,3,3,3,1,2,2,1
A. Walker,0.435754189944134,0.4222668004012036,0.0134873895429304,23.5,3.978260869565217,19.52173913043478,101.0,9.76086956521739,91.2391304347826,1997,0,0,0,0,0,0,0,8
R. Fox,0.4532710280373832,0.4565217391304347,-0.0032507110930515,21.0,2.9565217391304346,18.043478260869566,78.5,10.826086956521742,67.67391304347825,1997,0,0,4,0,0,4,4,8
T. Kukoc,0.4745762711864407,0.4412955465587044,0.0332807246277362,16.5,1.6304347826086956,14.869565217391305,89.35000000000001,7.204347826086958,82.14565217391305,1997,0,0,4,0,0,4,8,8
F. Brickowski,0.2941176470588235,0.4821428571428571,-0.1880252100840336,2.5,0.3043478260869565,2.1956521739130435,-2.45,0.5521739130434782,-3.002173913043478,1997,1,3,3,3,3,2,2,1
D. Barros,0.4366197183098591,0.4340659340659341,0.002553784243925,4.5,0.6521739130434783,3.8478260869565215,22.000000000000004,2.354347826086957,19.64565217391305,1997,1,3,1,1,1,7,7,7
T. Day,0.423841059602649,0.3864942528735632,0.0373468067290858,18.0,1.9782608695652173,16.02173913043478,104.75,8.502173913043475,96.24782608695652,1997,0,0,0,0,0,4,0,8
B. Wennington,0.4411764705882353,0.5073891625615764,-0.0662126919733411,5.5,0.4347826086956521,5.065217391304348,4.650000000000002,2.484782608695652,2.1652173913043504,1997,1,3,3,3,6,2,2,1
R. Brown,0.4710144927536231,0.3733333333333333,0.0976811594202898,8.5,0.9782608695652174,7.521739130434782,43.05,1.6586956521739131,41.39130434782609,1997,1,1,1,4,4,1,1,9
B. Szabo,0.4,0.4651162790697674,-0.0651162790697674,6.0,0.6304347826086957,5.369565217391305,12.099999999999998,0.795652173913044,11.304347826086952,1997,1,3,3,3,1,2,2,1
S. Kerr,0.5154185022026432,0.5205047318611987,-0.0050862296585555,9.0,0.717391304347826,8.282608695652174,115.55000000000004,6.0978260869565215,109.45217391304352,1997,0,0,0,0,0,4,8,8
D. Simpkins,0.3018867924528302,0.375,-0.0731132075471698,11.5,0.2608695652173913,11.23913043478261,-0.5500000000000007,0.3173913043478262,-0.867391304347827,1997,1,3,1,3,1,2,1,1
J. Buechler,0.391304347826087,0.3513513513513513,0.0399529964747356,7.5,0.2826086956521739,7.217391304347826,26.75,0.5934782608695655,26.156521739130437,1997,1,1,1,4,1,1,1,7
R. Parish,0.4878048780487805,0.4678899082568807,0.0199149697918997,4.0,0.4347826086956521,3.565217391304348,10.2,1.1108695652173912,9.089130434782607,1997,1,3,3,3,6,7,2,7
S. Bradley,0.4368421052631579,0.4517482517482517,-0.0149061464850938,16.0,2.217391304347826,13.782608695652174,41.89999999999999,7.908695652173912,33.99130434782608,1997,0,1,4,4,4,1,1,4
C. Mills,0.3723404255319149,0.4745042492917847,-0.1021638237598698,11.0,2.130434782608696,8.869565217391305,58.45000000000002,10.92173913043478,47.52826086956524,1997,0,1,4,4,4,1,8,9
B. Sura,0.3856209150326797,0.4470046082949309,-0.0613836932622511,28.0,2.717391304347826,25.28260869565217,32.0,5.323913043478263,26.676086956521736,1997,0,1,4,0,4,4,4,4
